Step 2337 | NS=0.02 EW=0.15 Imb=0.43 Action=1
Step 2338 | NS=0.02 EW=0.13 Imb=0.44 Action=1
Step 2339 | NS=0.02 EW=0.10 Imb=0.46 Action=1
Step 2340 | NS=0.02 EW=0.07 Imb=0.47 Action=1
Step 2341 | NS=0.02 EW=0.05 Imb=0.48 Action=0
Step 2342 | NS=0.02 EW=0.03 Imb=0.49 Action=0
Step 2343 | NS=0.02 EW=0.00 Imb=0.51 Action=0
Step 2344 | NS=0.00 EW=0.02 Imb=0.49 Action=0
Step 2345 | NS=0.00 EW=0.02 Imb=0.49 Action=0
Step 2346 | NS=0.00 EW=0.05 Imb=0.47 Action=0
