episode,steps,total_reward,n_states,epsilon,alpha
264,3729,-135259.39999999982,27089,0.05,0.026625226860418818
265,3617,-129864.79999999999,27106,0.05,0.026492100726116723
266,3621,-131229.20000000007,27121,0.05,0.02635964022248614
267,3694,-133093.79999999958,27140,0.05,0.02622784202137371
268,3732,-134745.39999999985,27163,0.05,0.02609670281126684
269,3724,-138995.59999999986,27214,0.05,0.02596621929721051
270,3714,-137134.40000000014,27248,0.05,0.025836388200724456
271,3664,-134249.79999999967,27274,0.05,0.025707206259720835
272,3654,-133190.4000000001,27300,0.05,0.02557867022842223
273,3700,-137533.59999999974,27317,0.05,0.025450776877280118
274,3620,-134308.00000000035,27339,0.05,0.025323522992893716
275,3721,-136362.4000000003,27358,0.05,0.02519690537792925
276,3698,-132181.5999999999,27377,0.05,0.025070920851039603
277,3700,-133362.00000000035,27391,0.05,0.024945566246784404
278,3694,-132442.40000000002,27404,0.05,0.02482083841555048
279,3713,-132101.40000000026,27424,0.05,0.024696734223472728
280,3677,-135807.0000000005,27438,0.05,0.024573250552355364
281,3676,-132691.99999999977,27457,0.05,0.024450384299593588
282,3720,-132968.40000000005,27470,0.05,0.02432813237809562
283,3698,-134457.7999999999,27486,0.05,0.02420649171620514
284,3674,-133216.4,27514,0.05,0.024085459257624113
285,3710,-132776.00000000026,27524,0.05,0.02396503196133599
286,3723,-134341.5999999995,27537,0.05,0.023845206801529312
287,3648,-131955.39999999997,27567,0.05,0.023725980767521665
288,3680,-132274.39999999988,27588,0.05,0.023607350863684057
289,3665,-133701.60000000015,27603,0.05,0.02348931410936564
290,3642,-130727.39999999957,27615,0.05,0.02337186753881881
291,3704,-134139.80000000002,27631,0.05,0.023255008201124715
292,3660,-133072.7999999999,27654,0.05,0.02313873316011909
293,3681,-132865.19999999998,27669,0.05,0.023023039494318494
294,3700,-135935.6000000003,27681,0.05,0.0229079242968469
295,3630,-131600.60000000024,27704,0.05,0.022793384675362665
296,3683,-132953.60000000012,27743,0.05,0.022679417751985852
297,3717,-136534.0,27760,0.05,0.022566020663225925
298,3672,-134188.2,27773,0.05,0.022453190559909793
299,3727,-136616.0000000003,27791,0.05,0.022340924607110246
300,3693,-135632.9,27816,0.05,0.022229219984074695
301,3714,-135310.19999999995,27835,0.05,0.02211807388415432
302,3734,-135147.50000000055,27852,0.05,0.02200748351473355
303,3659,-131290.19999999966,27870,0.05,0.021897446097159882
304,3663,-132664.60000000015,27884,0.05,0.021787958866674083
305,3712,-137112.2,27906,0.05,0.021679019072340714
306,3706,-133985.39999999994,27922,0.05,0.02157062397697901
307,3700,-133748.99999999974,27942,0.05,0.021462770857094114
308,3698,-135838.99999999985,27967,0.05,0.021355457002808644
309,3722,-135671.3999999998,27990,0.05,0.0212486797177946
310,3681,-133750.19999999987,27999,0.05,0.021142436319205628
311,3699,-136157.7999999999,28010,0.05,0.0210367241376096
312,3733,-134383.6000000001,28025,0.05,0.020931540516921553
313,3731,-133830.3999999998,28044,0.05,0.020826882814336947
314,3703,-132637.40000000026,28062,0.05,0.02072274840026526
315,3744,-138184.09999999986,28076,0.05,0.020619134658263934
316,3642,-132976.40000000005,28100,0.05,0.020516038984972614
317,3684,-134368.7999999999,28115,0.05,0.020413458790047752
318,3708,-134826.7999999998,28139,0.05,0.020311391496097512
319,3657,-132617.99999999997,28156,0.05,0.020209834538617025
320,3699,-134280.20000000004,28166,0.05,0.02010878536592394
321,3720,-134465.0000000003,28174,0.05,0.020008241439094323
322,3620,-131810.19999999975,28192,0.05,0.02
323,3671,-134287.69999999995,28204,0.05,0.02
324,3701,-134302.79999999993,28223,0.05,0.02
325,3644,-133148.60000000018,28253,0.05,0.02
326,3652,-131226.40000000026,28265,0.05,0.02
327,3716,-133122.20000000027,28286,0.05,0.02
328,3758,-138020.40000000017,28329,0.05,0.02
329,3683,-131651.59999999977,28342,0.05,0.02
330,3710,-135194.80000000008,28357,0.05,0.02
331,3690,-133283.19999999998,28365,0.05,0.02
332,3691,-133486.00000000047,28394,0.05,0.02
333,3670,-133254.2000000004,28404,0.05,0.02
334,3693,-134005.5999999998,28416,0.05,0.02
335,3681,-133966.0000000001,28431,0.05,0.02
336,3650,-130301.60000000002,28450,0.05,0.02
337,3744,-137198.7999999997,28464,0.05,0.02
338,3709,-134564.4000000001,28485,0.05,0.02
339,3684,-135097.3999999997,28497,0.05,0.02
340,3679,-133590.19999999987,28505,0.05,0.02
341,3811,-136904.69999999958,28538,0.05,0.02
342,3756,-137545.99999999988,28550,0.05,0.02
343,3707,-138341.19999999992,28568,0.05,0.02
344,3688,-133643.5999999996,28592,0.05,0.02
345,3672,-134161.49999999997,28605,0.05,0.02
346,3711,-135100.8000000004,28620,0.05,0.02
347,3725,-136536.6,28645,0.05,0.02
348,3702,-133045.60000000015,28657,0.05,0.02
349,3672,-133386.00000000023,28670,0.05,0.02
350,3693,-135087.19999999998,28682,0.05,0.02
351,3641,-133598.79999999987,28699,0.05,0.02
352,3661,-136222.29999999996,28711,0.05,0.02
353,3714,-132545.00000000003,28738,0.05,0.02
354,3707,-137472.90000000043,28767,0.05,0.02
355,3695,-134001.00000000023,28778,0.05,0.02
356,3691,-135104.00000000012,28786,0.05,0.02
357,3633,-134174.60000000012,28804,0.05,0.02
358,3739,-137203.49999999977,28819,0.05,0.02
359,3740,-138253.6999999997,28860,0.05,0.02
360,3677,-133177.60000000033,28871,0.05,0.02
361,3710,-135962.20000000045,28903,0.05,0.02
362,3687,-133863.6999999995,28908,0.05,0.02
363,3705,-135223.59999999995,28923,0.05,0.02
364,3682,-134000.00000000012,28939,0.05,0.02
365,3707,-136987.59999999992,28954,0.05,0.02
366,3672,-132664.80000000028,28970,0.05,0.02
367,3686,-134895.7999999998,28984,0.05,0.02
368,3727,-136685.20000000033,29002,0.05,0.02
369,3677,-134896.19999999984,29014,0.05,0.02
370,3647,-133430.19999999995,29027,0.05,0.02
371,3644,-133257.19999999992,29033,0.05,0.02
372,3645,-130595.00000000033,29042,0.05,0.02
373,3718,-135323.59999999966,29057,0.05,0.02
374,3694,-133991.59999999977,29074,0.05,0.02
375,3658,-133298.79999999964,29097,0.05,0.02
376,3716,-133889.19999999987,29124,0.05,0.02
377,3680,-132872.00000000006,29131,0.05,0.02
378,3695,-135034.4,29159,0.05,0.02
379,3678,-135682.19999999987,29168,0.05,0.02
380,3672,-133504.60000000003,29182,0.05,0.02
381,3647,-132208.80000000037,29191,0.05,0.02
382,3699,-134929.80000000016,29210,0.05,0.02
383,3675,-133674.0000000001,29226,0.05,0.02
384,3713,-137216.59999999986,29247,0.05,0.02
385,3606,-129574.59999999998,29256,0.05,0.02
386,3718,-134484.0000000002,29267,0.05,0.02
387,3657,-132487.19999999992,29281,0.05,0.02
388,3724,-134707.20000000007,29302,0.05,0.02
389,3704,-135745.79999999987,29313,0.05,0.02
390,3737,-138298.99999999936,29331,0.05,0.02
391,3724,-137374.00000000038,29348,0.05,0.02
392,3680,-134870.79999999926,29361,0.05,0.02
393,3679,-137200.19999999966,29388,0.05,0.02
394,3699,-134188.8000000002,29399,0.05,0.02
395,3706,-133883.60000000056,29407,0.05,0.02
396,3771,-139329.39999999994,29422,0.05,0.02
397,3701,-134151.20000000033,29430,0.05,0.02
398,3680,-135455.60000000036,29448,0.05,0.02
399,3717,-136685.99999999974,29489,0.05,0.02
400,3741,-136229.99999999985,29500,0.05,0.02
401,3652,-131739.2,29512,0.05,0.02
402,3706,-132298.40000000043,29526,0.05,0.02
403,3677,-132328.39999999994,29535,0.05,0.02
404,3660,-131866.59999999992,29547,0.05,0.02
405,3757,-134773.20000000004,29560,0.05,0.02
406,3702,-132912.00000000035,29571,0.05,0.02
407,3657,-136507.7000000001,29577,0.05,0.02
408,3719,-138696.99999999974,29597,0.05,0.02
409,3683,-130472.79999999993,29604,0.05,0.02
410,3689,-135347.99999999988,29615,0.05,0.02
411,3735,-136688.8000000002,29622,0.05,0.02
412,3712,-135581.20000000016,29632,0.05,0.02
413,3711,-132725.80000000013,29649,0.05,0.02
414,3698,-135760.80000000045,29659,0.05,0.02
415,3681,-133875.6,29665,0.05,0.02
416,3603,-131556.4000000004,29684,0.05,0.02
417,3704,-135061.79999999978,29702,0.05,0.02
418,3638,-130338.39999999995,29712,0.05,0.02
